iter	Passed	Remaining
298	8249	5545
299	8277	5518
300	8303	5489
301	8330	5461
302	8356	5433
303	8383	5405
304	8410	5377
305	8437	5349
306	8465	5322
307	8493	5294
308	8519	5265
309	8560	5246
310	8587	5218
311	8614	5190
312	8642	5163
313	8669	5135
314	8696	5107
315	8722	5078
316	8751	5051
317	8778	5024
318	8804	4995
319	8831	4967
320	8858	4940
321	8885	4911
322	8917	4886
323	8945	4859
324	8974	4832
325	9004	4805
326	9030	4777
327	9058	4750
328	9084	4721
329	9112	4694
330	9138	4666
331	9164	4637
332	9192	4609
333	9217	4581
334	9246	4554
335	9273	4526
336	9298	4497
337	9325	4469
338	9351	4441
339	9378	4413
340	9405	4385
341	9432	4357
342	9458	4329
343	9483	4300
344	9511	4273
345	9547	4249
346	9582	4225
347	9608	4196
348	9634	4168
349	9661	4140
350	9687	4112
351	9712	4083
352	9739	4056
353	9766	4027
354	9794	4000
355	9821	3972
356	9848	3944
357	9874	3916
358	9902	3889
359	9927	3860
360	9955	3833
361	9984	3806
362	10010	3778
363	10038	3750
364	10066	3723
365	10092	3695
366	10119	3667
367	10145	3639
368	10173	3611
369	10200	3584
370	10226	3555
371	10253	3528
372	10284	3501
373	10310	3473
374	10337	3445
375	10366	3418
376	10392	3390
377	10420	3363
378	10448	3335
379	10475	3307
380	10502	3280
381	10528	3252
382	10555	3224
383	10583	3197
384	10608	3168
385	10636	3141
386	10664	3113
387	10690	3085
388	10718	3058
389	10744	3030
390	10771	3002
391	10798	2975
392	10824	2947
393	10851	2919
394	10878	2891
395	10903	2863
396	10929	2835
397	10955	2807
398	10984	2780
399	11011	2752
400	11037	2724
401	11063	2697
402	11104	2672
